edition_id,title_primary,platform,country,language,release_date,source_object
ED-3CC768BA95,Big Run The Supreme 4WD Challenge,SFC,JP,en,,300537
ED-3CC768BA95,Big Run The Supreme 4WD Challenge,SFC,JP,ja,,300537
ED-DF48ED0964,Big Sky Trooper,SNES,UNK,xx,,41649
ED-F853F864F0,Big Sky Trooper,SNES,US,xx,,41649
ED-88F1355ACA,Bijo to Yajuu,SFC,JP,ja,,10190
ED-F8A346CDD8,Bike Daisuki Hashiri ya Tamashii,SFC,GB,ja,,21878
ED-F8A346CDD8,Bike Daisuki Hashiri ya Tamashii,SFC,JP,ja,,21878
ED-6FF0670F24,Bike Daisuki! Hashiriya Tamashii Rider's-Spirits,SFC,GB,ja,,9245
ED-6FF0670F24,Bike Daisuki! Hashiriya Tamashii Rider's-Spirits,SFC,JP,ja,,9245
ED-C623EC13BC,Bing Bing! Bingo,SFC,JP,ja,,34404
ED-99D77E6105,Bio Challenge,AMIGA,UNK,xx,,29375#3
ED-1792009879,Bio Metal,SFC,JP,ja,,35501
ED-57B88956E6,Birds of Prey,AMIGA,UNK,xx,,36809
ED-3E4A7C6D14,Bishin Densetsu Zoku,SFC,JP,ja,,20703
ED-8D771CE326,Bishoujo Janshi Suchie-Pai,SFC,JP,ja,,9498
ED-45722866F8,Bishoujo Janshi Suchii-Pie,SFC,JP,ja,,34800
ED-0A8375E78B,Bishoujo Senshi Sailor Moon,SFC,JP,ja,,35478
ED-766AFFEDDB,Bishoujo Senshi Sailor Moon Another Story,SFC,JP,ja,,23732
ED-1E2A5E8762,Bishoujo Senshi Sailor Moon R,SFC,JP,ja,,23961
ED-289707EA64,Bishoujo Senshi Sailor Moon S Jousai Rantou! Shuyaku Shudatsusen,SFC,JP,ja,,38493
ED-289707EA64,Bishoujo Senshi Sailor Moon S Jousai Rantou! Shuyaku Shudatsusen,SFC,US,ja,,38493
ED-C2649D28AD,Bishoujo Senshi Sailor Moon S Kondo ha Puzzle de Oshioki yo!!,SFC,JP,ja,,38618
ED-925A9D2B33,Bishoujo Senshi Sailor Moon S Kondo wa Puzzle de Oshioki yo!!,SFC,JP,ja,,9097
ED-0962D9CA0E,Bishoujo Senshi Sailor Moon S Kurukku-rin,SFC,GB,ja,,38294
ED-0962D9CA0E,Bishoujo Senshi Sailor Moon S Kurukku-rin,SFC,JP,ja,,38294
ED-3124653E3D,Bishoujo Senshi Sailor Moon Sailor Stars Fuwa Fuwa Panic 2 Gentei Set,SFC,JP,ja,,21817
ED-6B2718113A,Bishoujo Senshi Sailor Moon Super S Fuwa Fuwa Panic,SFC,JP,ja,,34432
ED-2E579086DB,Bishoujo Senshi Sailor Moon Super S Zenin Sanka!! Shuyaku Soudatsusen,SFC,JP,ja,,21588
ED-D29D7A1806,Bishoujo Senshi Sailor Moon SuperS Fuwa Fuwa Panic,SFC,JP,ja,,9012
ED-BB067E575E,Bishoujo Wrestler Retsuden Blizzard Yuki Rannyuu!!,SFC,GB,ja,,20878
ED-BB067E575E,Bishoujo Wrestler Retsuden Blizzard Yuki Rannyuu!!,SFC,JP,ja,,20878
ED-629CE31823,BlaZeon,SFC,JP,ja,,35602
ED-D65451B400,Blackhawk,SNES,EU,en,,19839
ED-D65451B400,Blackhawk,SNES,SE,sv,,26993
